,ROWID,timestamp,matches
0,1,6/15/2020 4:15,296.3|296.24|296.35|296.36|296.36|296.29|296.29
1,2,6/15/2020 4:16,296.74|296.71|296.72|296.75
2,3,6/15/2020 4:17,296.3|296.24|296.29|296.22|296.29
3,4,6/15/2020 4:18,296.64|296.61
4,5,6/15/2020 4:19,296.3|296.35|296.36|296.36|296.29|296.29
5,6,6/15/2020 4:20,296.3|296.35|296.36|296.36
6,7,6/15/2020 4:21,296.3|296.35|296.36|296.36
7,8,6/15/2020 4:22,296.3|296.24|296.35|296.29|296.29
8,9,6/15/2020 4:23,296.24|296.22
9,10,6/15/2020 4:24,295.99|295.96
10,11,6/15/2020 4:25,295.99|295.96
11,12,6/15/2020 4:26,296.11
12,13,6/15/2020 4:27,296.43|296.45
13,14,6/15/2020 4:28,296.3|296.24|296.35|296.29|296.29
14,15,6/15/2020 4:29,296.64|296.61|296.55
15,16,6/15/2020 4:30,296.74|296.71|296.72|296.75
16,17,6/15/2020 4:31,296.61|296.55
17,18,6/15/2020 4:32,296.43|296.45
18,19,6/15/2020 4:33,296.74|296.71|296.72|296.75
19,20,6/15/2020 4:34,296.94|296.97|296.89|296.94|297.0|296.95
20,21,6/15/2020 4:35,296.83|296.85|296.89
21,22,6/15/2020 4:36,296.74|296.71|296.72|296.75
22,23,6/15/2020 4:37,296.83|296.85|296.89
23,24,6/15/2020 4:38,296.94|296.97|296.94|297.0|297.02|296.95
24,25,6/15/2020 4:39,296.94|296.83|296.85|296.89|296.94|296.95
25,26,6/15/2020 4:40,296.94|296.97|296.89|296.94|297.0|296.95
26,27,6/15/2020 4:41,297.08|297.12|297.02|297.13|297.13|297.09|297.1|297.1|297.1|297.08
27,28,6/15/2020 4:42,297.21|297.15|297.23|297.17|297.26|297.26|297.24|297.19
28,29,6/15/2020 4:43,297.08|297.12|297.15|297.17|297.13|297.13|297.09|297.1|297.1|297.1|297.08
29,30,6/15/2020 4:44,296.94|296.97|296.94|297.0|297.02|296.95
30,31,6/15/2020 4:45,297.21|297.12|297.15|297.17|297.13|297.13|297.19|297.09|297.1|297.1|297.1
